year cost
     1988.00  19433239.31
     1988.00   6456504.37
     1988.00  83058646.72
     1988.00   5329265.95
     1988.00   7992760.95
     1988.00   2043465.10
     1988.00  97408421.14
     1988.00  51647483.09
     1988.00   5020063.83
     1988.00  26437317.55
     1988.00  47419119.75
     1988.00   3672384.78
     1988.00  31112040.65
     1988.00  17784811.62
     1988.00  40226512.75
     1988.00  11061047.37
     1988.00  14133560.53
     1988.00  12182108.26
     1988.00    672376.42
     1988.00  21079716.20
     1988.00   3537779.44
     1988.00  18542047.93
     1988.00    483798.90
     1988.00  19290180.50
     1988.00  49215158.13
     1988.00  77176328.41
     1988.00 119833540.46
     1988.00   5007058.48
     1988.00   5372508.72
     1988.00   9646390.78
     1988.00   2850772.00
     1988.00  21039399.63
     1988.00  27848674.03
     1988.00 167694191.73
     1988.00  32873663.63
     1988.00  12625590.58
     1988.00  28246962.77
     1988.00   8746095.66
     1988.00  37663484.05
     1988.00  77186082.42
     1988.00  89580828.09
     1988.00  32139463.04
     1988.00  16496957.16
     1988.00  28316541.38
     1988.00   7445560.99
     1988.00   2516534.59
     1988.00  34623159.13
     1988.00   8849813.30
     1988.00   7626660.44
     1988.00   3857385.83
     1988.00   5354626.37
     1988.00  30293727.98
     1988.00  15579429.95
     1988.00   6885355.68
     1988.00  14491207.56
     1988.00   5092568.64
     1988.00  10228054.91
     1988.00  27981978.83
     1988.00  19467378.35
     1988.00  10696897.66
     1988.00   5642694.80
     1988.00     79007.48
     1988.00    624695.57
     1988.00    420625.43
     1988.00    420625.43
     1988.00  40822157.63
     1988.00   1284603.12
     1988.00  27562280.04
     1988.00    779020.27
     1988.00   1788235.17
     1988.00   2547422.29
     1988.00  18883438.28
     1988.00    955567.85
     1988.00  13796071.78
     1988.00  17948678.98
     1988.00    595319.75
     1988.00  15280306.98
     1988.00   4436448.89
     1988.00  15850916.56
     1988.00   8778609.02
     1988.00   5410874.50
     1988.00  23579668.97
     1988.00   7406544.95
     1988.00   6897385.62
     1988.00  27516436.19
     1988.00   6148277.65
     1988.00  14959400.05
     1988.00   5999366.43
     1988.00  16516790.31
     1988.00   9702638.91
     1988.00  55602409.03
     1988.00  60273929.56
     1988.00   2343238.34
     1988.00  28622167.02
     1988.00   1820748.54
     1988.00   2798149.11
     1988.00  40477190.81
     1988.00   3533552.70
     1988.00  17238261.92
     1988.00  11107216.35
     1988.00    650267.34
     1988.00    937344.11
     1988.00  19291529.80
     1988.00  15075472.76
     1988.00  23359878.61
     1988.00  59688038.69
     1988.00   7517415.53
     1988.00  21789483.00
     1988.00   4537890.60
     1988.00  19396499.21
     1988.00  41266615.36
     1988.00   5670006.03
     1988.00   6707507.56
     1988.00    381706.93
     1988.00  18838569.83
     1988.00  22888434.80
     1988.00  10015742.63
     1988.00   5242455.26
     1988.00   3657753.76
     1988.00   4454331.25
     1988.00   3448692.81
     1988.00   8116311.74
     1988.00  31916746.48
     1988.00   3539242.54
     1988.00  21928965.34
     1988.00    118998.92
     1988.00   3243208.33
     1988.00   8104281.80
     1988.00   3153796.58
     1988.00    165362.98
     1988.00   1440667.28
     1988.00   9932508.41
     1988.00    628971.08
     1988.00   5753890.52
     1988.00   7047597.38
     1988.00  26075069.87
     1988.00  12251036.59
     1988.00   5332192.15
     1988.00   6703605.96
     1988.00   6703605.96
     1988.00   7062553.53
     1988.00  14342946.61
     1988.00  14342946.61
     1988.00   9155764.08
     1988.00  13922873.91
     1988.00   8039255.06
     1988.00  25298325.54
     1988.00  29480194.77
     1988.00  23184631.57
     1988.00  24922471.02
     1988.00   8128341.69
     1988.00   8216127.78
     1988.00  24819728.78
     1988.00  13046963.81
     1988.00  10700149.00
     1988.00  23143713.50
     1988.00  10284628.17
     1988.00  10284628.17
     1988.00  28300284.69
     1988.00   2669184.84
     1988.00  34211263.54
